Source,Target,Type,Weight,Source_Label,Target_Label
PULSAR N125 (2026),DR150 (2026),Directed,0.3674,PULSAR N125 (2026),DR150 (2026)
PULSAR N125 (2026),VSTROM 160 (2027),Directed,0.3566,PULSAR N125 (2026),VSTROM 160 (2027)
PULSAR N125 (2026),VSTROM 160 (2026),Directed,0.3566,PULSAR N125 (2026),VSTROM 160 (2026)
PULSAR N125 (2026),PULSAR N160 (2026),Directed,0.351,PULSAR N125 (2026),PULSAR N160 (2026)
PULSAR N250 CARB (2026),PULSAR N250 FI (2026),Directed,0.5315,PULSAR N250 CARB (2026),PULSAR N250 FI (2026)
PULSAR N250 CARB (2026),SNAKE GT TRAIL 250 RR (2026),Directed,0.4962,PULSAR N250 CARB (2026),SNAKE GT TRAIL 250 RR (2026)
PULSAR N250 CARB (2026),VSTROM 250 SX (2026),Directed,0.4656,PULSAR N250 CARB (2026),VSTROM 250 SX (2026)
PULSAR N250 CARB (2026),GIXXER 250 (2026),Directed,0.4217,PULSAR N250 CARB (2026),GIXXER 250 (2026)
TEKKEN 250 R (2026),SUPER 7 PE 250 (2026),Directed,0.5446,TEKKEN 250 R (2026),SUPER 7 PE 250 (2026)
TEKKEN 250 R (2026),RUBAK EVO TRAIL 220R (2026),Directed,0.4314,TEKKEN 250 R (2026),RUBAK EVO TRAIL 220R (2026)
TEKKEN 250 R (2026),DRS PERFORMANCE 300 (2026),Directed,0.3874,TEKKEN 250 R (2026),DRS PERFORMANCE 300 (2026)
TEKKEN 250 R (2026),TEKKEN 300 PE (2026),Directed,0.3676,TEKKEN 250 R (2026),TEKKEN 300 PE (2026)
TEKKEN 300 PE (2026),DRS PERFORMANCE 300 (2026),Directed,0.4128,TEKKEN 300 PE (2026),DRS PERFORMANCE 300 (2026)
TEKKEN 300 PE (2026),TEKKEN 250 R (2026),Directed,0.3676,TEKKEN 300 PE (2026),TEKKEN 250 R (2026)
TEKKEN 300 PE (2026),NORDICA 300 (2026),Directed,0.342,TEKKEN 300 PE (2026),NORDICA 300 (2026)
TEKKEN 300 PE (2026),SUPER 7 PE 250 (2026),Directed,0.3378,TEKKEN 300 PE (2026),SUPER 7 PE 250 (2026)
DR150 (2026),PULSAR N160 (2026),Directed,0.4704,DR150 (2026),PULSAR N160 (2026)
DR150 (2026),VSTROM 160 (2027),Directed,0.4664,DR150 (2026),VSTROM 160 (2027)
