Id,Marca,Tipo,Label
PULSAR N125 (2026),Bajaj,Moto Deportiva,PULSAR N125 (2026)
PULSAR N250 CARB (2026),Bajaj,Moto Deportiva,PULSAR N250 CARB (2026)
TEKKEN 250 R (2026),MB Motos,Moto Doble P.,TEKKEN 250 R (2026)
TEKKEN 300 PE (2026),MB Motos,Motocicleta Urbana,TEKKEN 300 PE (2026)
DR150 (2026),Suzuki,Moto Doble P.,DR150 (2026)
GIXXER 250 (2026),Suzuki,Moto Deportiva,GIXXER 250 (2026)
GIXXER SF 250 (2026),Suzuki,Moto Deportiva,GIXXER SF 250 (2026)
RAZZER GTR 220 R (2026),Veloci,Moto Deportiva,RAZZER GTR 220 R (2026)
XEVERUS EVO ADVENTURE 330 R (2026),Veloci,Moto Doble P.,XEVERUS EVO ADVENTURE 330 R (2026)
THYRON EVO SPORT 200 R (2026),Veloci,Motoneta,THYRON EVO SPORT 200 R (2026)
BREAKSTORM EVO SPORT 330 R (2026),Veloci,Motocicleta Urbana,BREAKSTORM EVO SPORT 330 R (2026)
REVENGE DYNAMIK 220 R (2026),Veloci,Moto Doble P.,REVENGE DYNAMIK 220 R (2026)
SNAKE GT TRAIL 250 RR (2026),Veloci,Motocicleta Urbana,SNAKE GT TRAIL 250 RR (2026)
QUAD XL FORCE 200 R (2026),Veloci,Cuatrimoto,QUAD XL FORCE 200 R (2026)
VSTROM 160 (2027),Suzuki,Moto Doble P.,VSTROM 160 (2027)
VSTROM 160 (2026),Suzuki,Moto Doble P.,VSTROM 160 (2026)
VSTROM 250 SX (2026),Suzuki,Moto Doble P.,VSTROM 250 SX (2026)
PULSAR N160 (2026),Bajaj,Moto Deportiva,PULSAR N160 (2026)
PULSAR NS 400Z (2026),Bajaj,Moto Deportiva,PULSAR NS 400Z (2026)
PULSAR N250 FI (2026),Bajaj,Moto Deportiva,PULSAR N250 FI (2026)
NORDICA 300 (2026),MB Motos,Moto Doble P.,NORDICA 300 (2026)
DEUS EVO SPORT 150R (2026),Veloci,Motocicleta Urbana,DEUS EVO SPORT 150R (2026)
RUBAK EVO TRAIL 220R (2026),Veloci,Moto Doble P.,RUBAK EVO TRAIL 220R (2026)
DRS PERFORMANCE 300 (2026),MB Motos,Moto Doble P.,DRS PERFORMANCE 300 (2026)
RX 175 GT LINE (2026),MB Motos,Motoneta,RX 175 GT LINE (2026)
SUPER 7 PE 250 (2026),MB Motos,Chopper,SUPER 7 PE 250 (2026)
